meuseDB/meuse/gid,meuseDB/meuse/cadmium,meuseDB/meuse/copper,meuseDB/meuse/lead,meuseDB/meuse/zinc,meuseDB/meuse/elev,meuseDB/meuse/dist,meuseDB/meuse/om,meuseDB/meuse/ffreq,meuseDB/meuse/soil,meuseDB/meuse/lime,meuseDB/meuse/landuse,meuseDB/meuse/dist.m,meuseDB/meuse/geom
55,9.400000000000000,104.000000000000000,482.000000000000000,1528.000000000000000,7.740000000000000,0.005432100000000,13.900000000000000,1,1,1,W,10.000000000000000,0101000020E61000000000000090F3054100000000E4461441
56,8.199999999999999,76.000000000000000,276.000000000000000,933.000000000000000,7.552000000000000,0.005432100000000,8.100000000000000,1,1,1,W,20.000000000000000,0101000020E61000000000000038EF05410000000004461441
57,2.600000000000000,36.000000000000000,180.000000000000000,432.000000000000000,7.760000000000000,0.146578000000000,3.100000000000000,1,1,0,Fw,200.000000000000000,0101000020E61000000000000080F20541000000000C441441
58,3.500000000000000,34.000000000000000,207.000000000000000,550.000000000000000,6.740000000000000,0.135684000000000,5.800000000000000,1,1,0,Fw,140.000000000000000,0101000020E610000000000000F0F505410000000044451441
59,10.900000000000000,90.000000000000000,541.000000000000000,1571.000000000000000,6.680000000000000,0.070333300000000,10.199999999999999,1,1,1,Fw,70.000000000000000,0101000020E61000000000000020FC054100000000D4461441
60,7.300000000000000,80.000000000000000,310.000000000000000,1190.000000000000000,7.400000000000000,0.048483100000000,12.000000000000000,1,1,1,W,20.000000000000000,0101000020E610000000000000A0EC0541000000006C441441
61,9.400000000000000,78.000000000000000,210.000000000000000,907.000000000000000,7.440000000000000,0.005432100000000,14.100000000000000,1,1,1,W,10.000000000000000,0101000020E61000000000000030EA05410000000080421441
62,8.300000000000001,77.000000000000000,158.000000000000000,761.000000000000000,7.360000000000000,0.005432100000000,14.500000000000000,1,1,1,Fw,10.000000000000000,0101000020E61000000000000038E9054100000000E83F1441
63,7.000000000000000,65.000000000000000,141.000000000000000,659.000000000000000,7.200000000000000,0.031666300000000,14.800000000000001,1,1,1,W,20.000000000000000,0101000020E61000000000000008E9054100000000C43D1441
64,6.800000000000000,66.000000000000000,144.000000000000000,643.000000000000000,7.220000000000000,0.012224300000000,13.300000000000001,1,1,1,Ah,10.000000000000000,0101000020E610000000000000B0E6054100000000983B1441
65,7.400000000000000,72.000000000000000,181.000000000000000,801.000000000000000,7.360000000000000,0.012224300000000,15.199999999999999,1,1,1,W,20.000000000000000,0101000020E61000000000000030E405410000000098391441
66,6.600000000000000,75.000000000000000,173.000000000000000,784.000000000000000,5.180000000000000,0.037339500000000,11.400000000000000,1,1,1,W,20.000000000000000,0101000020E610000000000000B8E105410000000000381441
67,7.800000000000000,75.000000000000000,399.000000000000000,1060.000000000000000,5.800000000000000,0.211846000000000,9.000000000000000,1,1,0,Ah,270.000000000000000,0101000020E61000000000000070E8054100000000D4351441
68,0.700000000000000,22.000000000000000,45.000000000000000,119.000000000000000,7.640000000000000,0.451037000000000,3.600000000000000,1,1,1,Fw,560.000000000000000,0101000020E61000000000000060EF054100000000D4321441
69,3.400000000000000,55.000000000000000,325.000000000000000,778.000000000000000,6.320000000000000,0.575877000000000,6.900000000000000,1,1,0,Bw,750.000000000000000,0101000020E61000000000000060F4054100000000C4301441
70,3.900000000000000,47.000000000000000,268.000000000000000,703.000000000000000,5.760000000000000,0.075686900000000,7.000000000000000,1,1,1,Ab,80.000000000000000,0101000020E61000000000000020DE0541000000002C331441
71,3.500000000000000,46.000000000000000,252.000000000000000,676.000000000000000,6.480000000000000,0.124810000000000,6.200000000000000,1,1,1,Ab,130.000000000000000,0101000020E610000000000000C0DD054100000000CC311441
72,4.700000000000000,55.000000000000000,315.000000000000000,793.000000000000000,6.480000000000000,0.103024000000000,6.500000000000000,1,1,0,W,110.000000000000000,0101000020E610000000000000C8DB054100000000C0311441
73,3.900000000000000,49.000000000000000,260.000000000000000,685.000000000000000,6.320000000000000,0.157469000000000,5.700000000000000,1,1,0,W,200.000000000000000,0101000020E610000000000000F8D90541000000009C2F1441
74,3.100000000000000,39.000000000000000,237.000000000000000,593.000000000000000,6.320000000000000,0.200976000000000,7.000000000000000,1,1,1,Ah,260.000000000000000,0101000020E61000000000000030DD05410000000018301441
75,2.900000000000000,45.000000000000000,228.000000000000000,549.000000000000000,6.160000000000000,0.200976000000000,7.300000000000000,1,1,0,W,270.000000000000000,0101000020E610000000000000C0DA054100000000542E1441
76,3.900000000000000,48.000000000000000,241.000000000000000,680.000000000000000,6.560000000000000,0.266220000000000,8.199999999999999,1,1,0,W,320.000000000000000,0101000020E610000000000000B8DC054100000000302E1441
77,2.700000000000000,36.000000000000000,201.000000000000000,539.000000000000000,6.900000000000000,0.298835000000000,4.300000000000000,1,1,0,Ah,360.000000000000000,0101000020E61000000000000090DB054100000000382C1441
78,2.500000000000000,36.000000000000000,204.000000000000000,560.000000000000000,7.540000000000000,0.081224700000000,4.400000000000000,1,1,1,Am,80.000000000000000,0101000020E610000000000000D0D3054100000000A82E1441
79,5.600000000000000,68.000000000000000,429.000000000000000,1136.000000000000000,6.420000000000000,0.070355000000000,8.199999999999999,1,1,1,W,100.000000000000000,0101000020E61000000000000000D70541000000006C301441
80,9.400000000000000,88.000000000000000,462.000000000000000,1383.000000000000000,6.280000000000000,0.012224300000000,8.500000000000000,1,1,1,W,70.000000000000000,0101000020E61000000000000028D9054100000000B0321441
81,10.800000000000001,85.000000000000000,333.000000000000000,1161.000000000000000,6.340000000000000,0.000000000000000,9.600000000000000,1,1,1,W,20.000000000000000,0101000020E61000000000000020DC054100000000F4331441
82,18.100000000000001,76.000000000000000,464.000000000000000,1672.000000000000000,7.307000000000000,0.053772300000000,17.000000000000000,1,1,1,W,50.000000000000000,0101000020E610000000000000B8FD054100000000C4291441
83,6.300000000000000,63.000000000000000,159.000000000000000,765.000000000000000,5.700000000000000,0.059366200000000,12.800000000000001,1,1,1,W,80.000000000000000,0101000020E61000000000000058E00541000000009C361441
84,2.100000000000000,32.000000000000000,116.000000000000000,279.000000000000000,7.720000000000000,0.211843000000000,5.900000000000000,1,2,0,W,290.000000000000000,0101000020E610000000000000F01B06410000000078561441
85,1.800000000000000,25.000000000000000,81.000000000000000,241.000000000000000,7.932000000000000,0.124810000000000,2.900000000000000,2,2,1,Ah,160.000000000000000,0101000020E61000000000000090E8054100000000A0381441
86,2.200000000000000,27.000000000000000,131.000000000000000,317.000000000000000,7.820000000000000,0.124810000000000,4.500000000000000,2,1,0,W,160.000000000000000,0101000020E61000000000000038EB0541000000007C3A1441
87,2.800000000000000,36.000000000000000,216.000000000000000,545.000000000000000,8.574999999999999,0.092151600000000,10.699999999999999,2,1,0,W,140.000000000000000,0101000020E61000000000000070DA054100000000E4311441
88,2.400000000000000,41.000000000000000,145.000000000000000,505.000000000000000,8.536000000000000,0.113941000000000,9.400000000000000,2,1,0,W,150.000000000000000,0101000020E61000000000000048D8054100000000D82F1441
89,2.600000000000000,33.000000000000000,163.000000000000000,420.000000000000000,8.504000000000000,0.179216000000000,9.000000000000000,2,1,0,Ah,220.000000000000000,0101000020E610000000000000D8D5054100000000502C1441
90,1.800000000000000,27.000000000000000,129.000000000000000,332.000000000000000,8.659000000000001,0.233596000000000,7.000000000000000,2,1,0,Am,280.000000000000000,0101000020E61000000000000098D3054100000000B4291441
91,2.000000000000000,38.000000000000000,148.000000000000000,400.000000000000000,7.633000000000000,0.336861000000000,6.500000000000000,2,1,1,Am,450.000000000000000,0101000020E610000000000000A8DA054100000000682A1441
92,2.700000000000000,37.000000000000000,214.000000000000000,553.000000000000000,8.538000000000000,0.070355000000000,9.400000000000000,2,1,1,Am,70.000000000000000,0101000020E61000000000000068CD054100000000982A1441
93,2.700000000000000,34.000000000000000,226.000000000000000,577.000000000000000,7.680000000000000,0.059366200000000,10.199999999999999,2,1,0,Am,70.000000000000000,0101000020E61000000000000068D0054100000000F42C1441
94,0.900000000000000,19.000000000000000,54.000000000000000,155.000000000000000,7.564000000000000,0.255341000000000,6.400000000000000,2,1,0,W,340.000000000000000,0101000020E610000000000000D8EA05410000000014281441
95,0.900000000000000,22.000000000000000,70.000000000000000,224.000000000000000,7.760000000000000,0.364067000000000,7.600000000000000,2,1,0,W,470.000000000000000,0101000020E61000000000000028E30541000000000C271441
96,0.400000000000000,26.000000000000000,73.000000000000000,180.000000000000000,7.653000000000000,0.429295000000000,7.000000000000000,2,1,0,Am,630.000000000000000,0101000020E61000000000000068E60541000000001C2D1441
97,0.800000000000000,25.000000000000000,87.000000000000000,226.000000000000000,7.951000000000000,0.380328000000000,5.600000000000000,2,1,0,Am,460.000000000000000,0101000020E61000000000000030E805410000000038301441
98,0.400000000000000,22.000000000000000,76.000000000000000,186.000000000000000,8.176000000000000,0.249874000000000,6.500000000000000,2,1,0,Am,320.000000000000000,0101000020E610000000000000E8E2054100000000B4301441
99,0.400000000000000,24.000000000000000,81.000000000000000,198.000000000000000,8.468000000000000,0.266212000000000,6.600000000000000,2,1,0,Ah,320.000000000000000,0101000020E61000000000000060DF054100000000582F1441
100,0.400000000000000,18.000000000000000,68.000000000000000,187.000000000000000,8.410000000000000,0.451037000000000,5.900000000000000,2,1,0,W,540.000000000000000,0101000020E61000000000000030E0054100000000782A1441
101,0.800000000000000,23.000000000000000,66.000000000000000,199.000000000000000,7.610000000000000,0.309710000000000,6.500000000000000,2,1,0,W,420.000000000000000,0101000020E61000000000000010ED054100000000682B1441
102,0.400000000000000,22.000000000000000,49.000000000000000,157.000000000000000,7.792000000000000,0.293359000000000,6.400000000000000,2,1,0,SPO,380.000000000000000,0101000020E61000000000000030F2054100000000B02C1441
103,0.400000000000000,23.000000000000000,63.000000000000000,203.000000000000000,8.760000000000000,0.532351000000000,7.200000000000000,2,2,0,W,500.000000000000000,0101000020E61000000000000060F805410000000054301441
104,0.400000000000000,23.000000000000000,48.000000000000000,143.000000000000000,9.879000000000000,0.619513000000000,6.600000000000000,2,3,0,Am,760.000000000000000,0101000020E61000000000000018FB054100000000C4361441
105,0.200000000000000,23.000000000000000,51.000000000000000,136.000000000000000,9.097000000000000,0.684725000000000,4.300000000000000,2,2,0,Ah,750.000000000000000,0101000020E61000000000000010FE054100000000EC391441
106,0.200000000000000,18.000000000000000,50.000000000000000,117.000000000000000,9.095000000000001,0.809742000000000,5.300000000000000,2,3,0,Fw,1000.000000000000000,0101000020E6100000000000001807064100000000443B1441
107,0.400000000000000,20.000000000000000,39.000000000000000,113.000000000000000,9.717000000000001,0.880389000000000,4.100000000000000,2,3,0,Ah,860.000000000000000,0101000020E610000000000000400306410000000058361441
108,0.200000000000000,22.000000000000000,48.000000000000000,130.000000000000000,9.924000000000000,0.749591000000000,6.100000000000000,2,3,0,Ah,680.000000000000000,0101000020E610000000000000A0010641000000004C331441
109,0.200000000000000,27.000000000000000,64.000000000000000,192.000000000000000,9.404000000000000,0.575752000000000,7.500000000000000,2,3,0,Fw,500.000000000000000,0101000020E61000000000000090FC054100000000CC301441
110,0.400000000000000,25.000000000000000,84.000000000000000,240.000000000000000,10.520000000000000,0.581484000000000,8.800000000000001,2,3,0,STA,650.000000000000000,0101000020E61000000000000048F505410000000080321441
111,0.200000000000000,30.000000000000000,67.000000000000000,221.000000000000000,8.840000000000000,0.494520000000000,5.700000000000000,2,3,0,DEN,630.000000000000000,0101000020E610000000000000F0F1054100000000A4321441
112,0.200000000000000,23.000000000000000,49.000000000000000,140.000000000000000,8.472000000000000,0.320580000000000,6.100000000000000,2,3,0,Fw,410.000000000000000,0101000020E61000000000000048EE05410000000038361441
113,0.200000000000000,24.000000000000000,48.000000000000000,128.000000000000000,9.634000000000000,0.336851000000000,7.100000000000000,2,3,0,Ah,390.000000000000000,0101000020E61000000000000098F0054100000000B4371441
114,0.200000000000000,21.000000000000000,56.000000000000000,166.000000000000000,9.206000000000000,0.249852000000000,4.100000000000000,2,2,0,Ah,310.000000000000000,0101000020E61000000000000028F0054100000000C43A1441
115,0.200000000000000,24.000000000000000,65.000000000000000,191.000000000000000,8.470000000000001,0.075686900000000,6.000000000000000,2,1,0,Ah,70.000000000000000,0101000020E610000000000000B0E7054100000000783A1441
116,0.200000000000000,21.000000000000000,84.000000000000000,232.000000000000000,8.462999999999999,0.075686900000000,6.600000000000000,2,1,0,W,70.000000000000000,0101000020E61000000000000020EA054100000000B43C1441
117,0.200000000000000,23.000000000000000,75.000000000000000,203.000000000000000,9.691000000000001,0.162853000000000,6.800000000000000,2,1,1,STA,150.000000000000000,0101000020E610000000000000E0ED054100000000483F1441
118,3.700000000000000,53.000000000000000,250.000000000000000,722.000000000000000,8.704000000000001,0.097491600000000,9.100000000000000,2,2,0,Bw,80.000000000000000,0101000020E6100000000000000803064100000000F8291441
119,0.200000000000000,33.000000000000000,81.000000000000000,210.000000000000000,9.420000000000000,0.440142000000000,5.900000000000000,2,2,0,Ah,450.000000000000000,0101000020E61000000000000010FE054100000000F4401441
120,0.200000000000000,22.000000000000000,72.000000000000000,198.000000000000000,9.573000000000000,0.461900000000000,4.900000000000000,2,2,0,Aa,530.000000000000000,0101000020E610000000000000E8F9054100000000203F1441
121,0.200000000000000,23.000000000000000,86.000000000000000,139.000000000000000,9.555000000000000,0.222701000000000,7.100000000000000,2,1,0,W,240.000000000000000,0101000020E610000000000000A8F20541000000003C421441
122,0.200000000000000,25.000000000000000,94.000000000000000,253.000000000000000,8.779000000000000,0.103024000000000,8.100000000000000,2,1,1,Tv,70.000000000000000,0101000020E610000000000000D0ED054100000000CC421441
123,1.200000000000000,30.000000000000000,244.000000000000000,703.000000000000000,8.539999999999999,0.092135300000000,8.300000000000001,2,1,0,Fw,70.000000000000000,0101000020E61000000000000048F4054100000000B8451441
124,2.400000000000000,47.000000000000000,297.000000000000000,832.000000000000000,8.808999999999999,0.048488400000000,10.000000000000000,2,1,0,Ah,60.000000000000000,0101000020E610000000000000480106410000000024481441
125,0.200000000000000,31.000000000000000,96.000000000000000,262.000000000000000,9.523000000000000,0.168331000000000,5.900000000000000,2,1,0,Ah,190.000000000000000,0101000020E61000000000000058FC05410000000014451441
126,0.200000000000000,20.000000000000000,56.000000000000000,142.000000000000000,9.811000000000000,0.385810000000000,5.000000000000000,2,2,0,Ah,450.000000000000000,0101000020E6100000000000007007064100000000AC421441
127,0.200000000000000,16.000000000000000,49.000000000000000,119.000000000000000,9.603999999999999,0.489064000000000,4.500000000000000,2,2,0,Am,550.000000000000000,0101000020E610000000000000F007064100000000B8401441
128,0.200000000000000,17.000000000000000,50.000000000000000,152.000000000000000,9.731999999999999,0.576020000000000,5.400000000000000,2,2,0,Am,650.000000000000000,0101000020E610000000000000D803064100000000D03E1441
129,0.400000000000000,26.000000000000000,148.000000000000000,415.000000000000000,9.518000000000001,0.081219400000000,2.300000000000000,2,1,0,Am,100.000000000000000,0101000020E610000000000000F013064100000000F0541441
130,1.600000000000000,34.000000000000000,162.000000000000000,474.000000000000000,9.720000000000001,0.037336900000000,7.500000000000000,2,1,0,W,170.000000000000000,0101000020E610000000000000E00E06410000000048511441
131,0.800000000000000,18.000000000000000,37.000000000000000,126.000000000000000,9.036000000000000,0.771698000000000,4.600000000000000,2,3,1,Ah,860.000000000000000,0101000020E61000000000000048FF05410000000060361441
132,1.200000000000000,23.000000000000000,80.000000000000000,210.000000000000000,9.528000000000001,0.336829000000000,5.800000000000000,2,2,0,W,410.000000000000000,0101000020E61000000000000068FE0541000000004C421441
133,0.200000000000000,20.000000000000000,80.000000000000000,220.000000000000000,9.154999999999999,0.228123000000000,4.400000000000000,3,1,0,Aa,290.000000000000000,0101000020E610000000000000D81506410000000028511441
134,0.200000000000000,14.000000000000000,49.000000000000000,133.000000000000000,10.080000000000000,0.597761000000000,4.400000000000000,3,2,0,Am,680.000000000000000,0101000020E6100000000000009807064100000000B83E1441
135,0.800000000000000,46.000000000000000,42.000000000000000,141.000000000000000,9.970000000000001,0.445580000000000,4.500000000000000,3,2,0,Am,540.000000000000000,0101000020E61000000000000068F6054100000000F4381441
136,1.000000000000000,29.000000000000000,48.000000000000000,158.000000000000000,10.135999999999999,0.396675000000000,5.200000000000000,3,2,0,Am,480.000000000000000,0101000020E61000000000000070F3054100000000A8371441
137,0.800000000000000,19.000000000000000,41.000000000000000,129.000000000000000,10.320000000000000,0.581478000000000,4.600000000000000,3,3,0,W,720.000000000000000,0101000020E610000000000000B8F8054100000000F4341441
138,1.200000000000000,31.000000000000000,73.000000000000000,206.000000000000000,9.041000000000000,0.287966000000000,6.900000000000000,3,1,0,W,380.000000000000000,0101000020E61000000000000080DD054100000000482D1441
139,2.000000000000000,27.000000000000000,146.000000000000000,451.000000000000000,7.860000000000000,0.233596000000000,7.000000000000000,3,1,0,W,310.000000000000000,0101000020E610000000000000D0DA054100000000042D1441
140,1.500000000000000,29.000000000000000,95.000000000000000,296.000000000000000,8.741000000000000,0.364067000000000,5.400000000000000,3,1,0,Ah,430.000000000000000,0101000020E61000000000000068DC054100000000042B1441
